"Table 1c: Estimated population by sex, single year of age and 2011 Data Zone area: 30 June 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,,All Ages,,Females,,,,,,,,,,,,Females,,,,,,,,,,,,,,,,Females,,,,,,,,,,,,,Females,,,,,,,,,,,,,Females,,,,,,,,,,,,,Females,,,,,,,,,,,,,Females,,,,,,,,,,
,,,,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90+
S01006526,,478,,3,5,5,4,4,0,2,2,3,8,5,1,3,3,3,2,1,3,5,11,19,10,9,17,7,5,16,8,5,13,11,12,4,7,13,5,6,3,5,6,6,10,4,7,0,3,1,9,3,4,5,1,8,6,8,10,3,4,7,6,8,3,3,6,3,3,6,2,1,3,1,8,3,9,4,2,7,1,3,1,3,5,4,7,3,3,3,1,2,2,9
S01006527,,368,,5,1,3,7,0,3,2,7,5,3,7,5,2,2,4,5,4,6,2,4,4,4,3,7,0,9,2,12,9,7,8,2,8,5,8,3,5,3,4,3,8,2,9,3,7,2,7,8,5,4,4,4,4,7,5,6,7,7,4,6,3,5,3,4,1,3,2,4,3,3,6,0,3,2,1,3,4,4,2,2,1,1,3,0,1,3,1,0,2,0,6
S01006528,,571,,5,7,6,4,8,4,7,5,4,2,8,7,7,6,6,4,6,5,10,8,14,13,14,17,20,6,14,19,13,16,7,9,17,10,11,8,8,8,8,2,3,2,4,1,8,6,3,5,6,9,6,5,8,2,4,8,2,4,2,6,9,3,5,5,7,2,4,6,3,1,4,6,4,7,8,5,2,5,9,4,2,6,1,3,0,1,2,2,2,1,5
S01006529,,478,,7,6,7,2,1,10,8,4,6,2,1,0,3,0,1,3,2,2,5,7,24,10,22,2,13,30,9,2,11,15,13,12,17,15,2,0,11,4,6,5,0,4,4,0,6,0,6,4,2,3,4,6,6,0,6,3,1,6,3,5,11,3,4,2,5,8,4,1,4,2,5,2,6,0,1,1,3,4,5,3,2,2,5,3,4,4,8,3,0,0,4
S01006530,,378,,5,3,5,2,0,7,3,4,2,1,1,3,4,3,2,4,3,1,3,6,5,6,6,14,6,1,12,12,5,6,3,9,6,10,6,5,3,1,2,5,4,3,0,6,4,0,3,8,3,1,4,4,7,8,7,8,5,8,4,9,3,4,7,4,6,5,5,3,8,2,0,2,4,3,5,3,4,2,1,4,3,2,2,0,0,2,5,4,0,0,4
S01006531,,481,,2,3,4,7,3,1,4,5,1,2,2,6,5,7,2,3,2,3,6,8,13,10,10,12,18,24,21,6,10,8,6,11,8,5,2,4,4,5,7,5,10,6,3,10,3,4,4,8,9,2,5,5,3,2,10,5,2,4,3,7,7,5,0,4,7,4,4,6,4,3,6,1,5,3,0,2,3,4,7,5,6,1,2,5,2,3,3,0,6,2,1
S01006532,,420,,5,3,2,1,4,1,3,4,6,4,6,0,3,1,3,3,1,2,0,0,2,6,1,4,10,1,5,9,1,3,0,6,8,5,6,6,9,3,9,1,7,4,4,8,5,2,4,4,3,2,6,3,7,4,7,5,4,4,5,2,6,4,6,3,6,2,3,3,8,2,2,5,4,11,3,10,2,4,3,4,1,9,3,3,6,8,7,6,12,5,32
S01006533,,397,,5,3,1,3,5,7,5,4,5,2,4,1,3,0,1,4,5,7,4,3,3,4,4,9,7,2,2,7,5,4,4,5,7,3,4,2,10,4,10,8,5,10,7,6,5,1,8,6,6,10,3,9,4,7,7,8,5,8,9,10,4,5,3,1,5,6,3,5,0,3,2,4,1,5,1,3,6,1,4,2,1,0,4,0,6,3,1,0,3,0,5
S01006534,,507,,5,5,0,7,3,7,5,10,6,9,8,11,6,2,10,3,6,7,6,4,4,2,8,5,9,5,9,5,13,3,7,8,8,10,6,6,2,6,8,9,8,8,3,8,8,11,13,3,4,8,14,4,6,11,6,4,14,8,7,1,4,8,5,5,3,3,7,6,8,3,6,1,8,3,4,0,4,0,2,3,3,2,3,6,2,1,2,1,1,1,0
S01006535,,508,,3,0,4,5,14,5,7,3,7,4,3,3,2,3,0,3,1,3,3,4,3,9,12,16,7,12,13,9,21,4,23,7,15,12,9,9,7,8,8,12,7,4,7,10,13,3,10,4,14,5,6,6,8,9,2,7,3,5,5,6,7,0,9,7,2,3,3,6,2,4,1,2,3,3,4,3,0,1,2,6,2,1,1,1,1,1,0,2,3,0,1
