"Table 1c: Estimated population by sex, single year of age and 2011 Data Zone area: 30 June 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,,All Ages,,,,,Females,,,,,,,,,,,,Females,,,,,,,,,,,,,Females,,,,,,,,,,,,,Females,,,,,,,,,,,,,Females,,,,,,,,,,,,,Females,,,,,,,,,,,,,Females,,,,,,,,,,
,,,,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90
S01006533,,406,,3,3,3,6,8,6,6,5,2,4,1,3,0,1,4,6,7,5,4,4,2,3,9,5,1,2,5,5,5,2,6,9,5,7,2,10,3,9,8,5,10,7,6,4,2,7,6,6,10,3,10,4,9,7,8,5,8,9,10,5,4,3,1,5,6,3,6,0,3,2,4,1,6,1,3,6,2,4,2,1,0,4,1,6,3,1,0,3,0,2,3
S01006534,,507,,4,0,7,4,6,5,10,7,8,8,12,7,2,10,4,7,6,4,5,5,1,7,6,2,5,7,5,13,3,11,6,7,8,6,8,5,7,7,10,8,8,3,9,9,11,13,4,4,8,14,6,6,12,6,4,13,7,7,1,4,6,6,5,3,3,5,6,7,3,6,1,7,5,4,0,4,0,2,3,3,2,3,6,3,2,3,1,1,1,3,1
S01006535,,508,,0,2,6,12,5,7,3,7,4,2,3,2,3,0,2,1,2,2,0,2,6,10,8,8,8,13,11,23,6,26,9,15,14,9,10,13,9,9,13,6,3,7,11,13,3,8,8,14,7,6,8,6,10,2,7,3,6,4,5,7,0,9,7,2,3,3,6,4,5,1,2,3,2,4,3,0,1,2,6,1,1,1,2,1,1,0,2,3,1,2,1
S01006536,,526,,1,4,9,9,1,3,3,1,3,2,7,0,4,2,1,1,0,1,1,0,4,7,23,21,23,30,13,10,19,19,15,18,21,15,9,10,3,8,11,3,7,7,5,7,8,11,6,5,8,5,6,8,8,5,4,6,3,8,4,3,3,1,2,4,2,4,7,6,3,0,5,0,4,0,0,4,2,1,1,1,1,0,5,1,1,1,0,0,0,1,7
S01006537,,493,,3,2,1,4,7,6,1,2,5,4,2,4,2,5,8,6,3,0,6,1,1,5,3,3,2,3,3,3,2,6,2,8,2,2,3,14,4,3,4,5,4,5,10,7,8,8,3,0,4,12,7,10,6,4,10,7,4,7,9,4,5,5,7,6,3,8,8,9,10,4,5,11,8,3,9,7,8,8,8,6,4,7,11,3,5,2,5,5,3,6,25
S01006538,,307,,4,6,2,4,4,2,2,2,3,3,2,3,4,6,2,2,3,1,1,1,0,3,7,2,5,0,6,1,1,1,3,3,1,4,3,3,9,4,3,2,6,5,6,3,4,1,5,5,4,7,10,4,3,6,6,3,5,2,1,6,5,8,2,4,3,4,3,4,6,3,5,2,1,1,3,2,7,3,3,4,2,3,5,3,3,2,3,0,0,0,3
S01006539,,428,,4,5,6,3,6,3,7,6,7,5,2,3,3,2,5,4,1,3,4,4,3,5,3,6,1,1,5,1,6,5,3,4,4,8,8,6,4,8,5,5,4,6,6,6,11,5,5,6,8,4,4,5,2,6,8,5,8,5,7,4,2,5,4,3,4,8,6,11,0,5,4,5,6,5,3,7,3,2,0,3,6,5,4,2,4,4,2,3,2,0,21
S01006540,,465,,5,4,1,6,7,3,5,2,3,0,3,1,5,6,5,2,3,0,1,1,6,4,7,10,7,5,3,4,8,6,13,7,9,3,6,10,10,6,7,12,5,8,5,6,8,5,4,10,6,4,11,5,7,7,10,7,9,4,6,8,8,8,9,1,4,5,3,6,3,0,4,3,9,5,2,3,3,3,3,4,4,2,6,3,4,2,5,0,4,0,8
S01006541,,454,,5,5,6,6,10,3,7,4,3,3,2,2,0,3,2,6,0,5,2,0,1,4,3,5,4,2,1,1,6,6,5,5,11,9,1,2,7,5,6,2,3,9,4,8,8,3,0,6,8,4,10,3,3,5,8,8,4,3,7,3,6,6,5,5,1,7,4,5,2,5,3,7,7,5,5,4,4,8,9,6,3,6,5,6,4,10,7,8,7,2,25
S01006542,,533,,6,6,2,6,3,5,2,3,5,3,9,1,5,3,5,4,3,4,0,8,1,4,1,5,3,6,2,7,7,8,3,9,8,9,3,4,6,5,6,8,5,5,6,9,9,11,8,7,7,10,9,5,15,10,12,3,6,7,4,6,6,7,10,8,4,10,6,6,3,3,8,2,8,7,8,16,7,7,6,6,7,12,10,4,6,4,5,2,1,2,0
