"Table 1b: Estimated population by sex, single year of age, 2011 Data Zone area, and council area: 30 June 2016 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,Council Areas,All Ages,,,,,MALES,,,,,,,,,,,,MALES,,,,,,,,,,,,,MALES,,,,,,,,,,,,,MALES,,,,,,,,,,,,,MALES,,,,,,,,,,,,,MALES,,,,,,,,,,,,,MALES,,,,,,,,,,
,,,,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90+
S01006525,Aberdeen City,428,,2,3,3,4,11,1,10,1,5,6,7,5,5,2,2,5,5,9,3,4,2,4,2,0,10,6,8,5,4,6,5,6,3,0,3,4,4,7,3,4,4,5,5,9,8,6,6,14,4,6,6,6,1,6,9,6,6,5,4,2,5,5,3,4,4,9,5,4,6,6,3,2,7,7,4,1,5,4,3,2,2,8,1,1,5,7,3,2,3,4,6
S01006526,Aberdeen City,463,,4,2,4,8,1,8,1,9,6,5,0,4,0,2,3,2,7,5,5,9,14,5,17,9,13,15,18,16,9,13,23,2,14,13,12,7,4,7,8,5,4,5,6,2,7,8,0,1,4,6,0,4,4,6,5,2,4,5,7,3,1,6,2,7,4,0,2,4,3,3,8,0,3,1,1,1,0,1,3,1,1,4,0,3,2,4,2,1,0,0,3
S01006527,Aberdeen City,362,,7,3,7,4,5,5,7,3,7,3,8,3,3,5,7,3,5,6,1,0,7,3,12,3,6,7,7,1,13,5,1,5,2,2,6,10,7,7,3,5,9,2,3,2,4,2,5,0,11,8,4,7,3,9,7,4,7,4,1,3,1,6,5,4,5,5,6,0,1,7,1,2,1,1,1,1,3,0,0,0,1,3,2,0,1,0,0,1,2,0,3
S01006528,Aberdeen City,539,,5,4,1,0,4,6,6,7,8,2,10,3,4,3,3,5,2,5,8,13,7,13,11,13,19,28,10,21,17,13,12,18,11,9,12,10,10,6,17,7,3,7,4,7,1,5,0,3,7,8,1,11,5,5,4,13,3,3,6,3,5,0,5,6,2,4,2,4,2,0,1,5,3,2,4,2,9,3,3,4,4,1,1,3,0,1,1,0,0,0,0
S01006529,Aberdeen City,464,,3,2,5,5,3,2,3,0,4,5,0,5,4,3,4,4,2,1,4,2,7,7,13,9,21,12,16,15,7,13,14,12,0,12,14,10,14,9,2,8,3,6,5,13,5,8,4,4,9,6,5,7,3,9,3,7,7,0,12,0,1,2,6,1,3,8,1,6,3,3,3,9,3,2,2,2,1,2,2,0,3,1,3,0,0,3,0,0,0,1,1
S01006530,Aberdeen City,362,,3,0,2,4,4,4,3,2,2,3,1,2,3,4,2,8,0,4,1,5,5,8,0,3,13,16,5,14,8,11,16,9,5,9,7,9,3,6,0,7,4,7,8,4,6,4,5,6,5,6,3,2,1,6,6,5,3,7,4,5,6,1,1,0,4,5,2,3,2,0,3,4,1,4,2,4,2,2,0,2,1,0,0,1,1,0,2,0,1,0,0
S01006531,Aberdeen City,469,,4,6,5,3,0,2,5,2,4,2,8,1,3,3,3,5,11,5,5,4,9,3,14,12,12,13,12,15,15,10,8,8,7,12,6,7,2,16,6,7,1,6,3,1,4,6,5,4,8,2,7,8,8,2,4,5,5,4,10,3,2,4,3,2,11,5,5,6,4,8,4,3,0,2,2,3,3,4,2,5,4,1,3,2,3,5,1,1,0,0,0
S01006532,Aberdeen City,375,,3,3,3,4,5,7,5,3,3,3,5,3,1,3,5,2,6,2,1,3,4,4,1,1,9,12,10,8,4,6,8,3,6,3,1,5,7,5,2,12,3,7,7,8,8,5,3,2,5,10,3,5,4,2,4,3,4,3,5,3,4,3,3,6,0,4,4,2,3,7,2,2,5,3,4,6,6,4,1,1,3,1,5,3,0,3,1,2,2,0,10
S01006533,Aberdeen City,347,,8,3,4,3,3,5,5,5,3,3,2,5,5,2,2,0,4,1,5,4,4,1,0,5,4,5,7,8,11,9,2,8,3,0,1,6,4,0,5,5,4,8,3,2,14,3,3,1,3,8,5,6,7,1,11,5,3,6,5,8,6,3,5,10,1,4,4,4,0,1,2,4,3,5,3,2,1,2,2,3,1,2,1,2,1,2,0,2,1,1,3
S01006534,Aberdeen City,469,,6,1,4,6,4,3,3,12,7,3,9,5,3,6,5,4,4,6,0,6,0,5,2,4,2,5,8,8,7,5,7,7,5,4,9,7,10,11,10,7,9,3,3,7,7,9,7,12,6,6,9,10,15,9,5,6,5,7,10,5,9,4,3,2,7,6,7,9,4,8,3,2,2,1,4,2,4,3,2,4,0,3,1,0,2,3,1,1,0,1,1
S01006535,Aberdeen City,531,,7,5,3,5,2,3,0,6,4,6,6,5,1,5,0,5,2,2,4,2,5,4,5,6,9,16,8,15,14,24,27,16,16,15,21,19,11,13,5,15,10,11,10,6,6,8,9,11,4,1,0,0,11,5,2,5,5,5,6,8,5,9,6,2,2,3,4,0,5,3,3,0,2,2,2,2,0,3,2,0,4,2,4,4,0,0,0,0,0,0,2
S01006536,Aberdeen City,509,,3,1,1,3,4,0,0,2,5,3,2,1,4,0,2,2,0,0,4,0,1,4,2,6,9,22,16,21,27,35,15,43,15,14,22,13,12,10,17,6,2,8,6,8,0,2,8,11,7,3,5,3,8,2,6,3,3,5,0,6,9,3,5,0,1,1,3,2,3,4,3,4,3,2,4,3,3,3,2,2,1,1,0,0,1,0,0,0,0,1,2
S01006537,Aberdeen City,407,,1,6,6,5,1,9,7,4,6,4,6,2,3,1,6,3,2,7,4,2,1,5,3,2,4,4,5,3,6,2,5,6,6,5,4,4,9,0,4,5,7,2,7,6,7,6,10,12,1,4,3,1,9,2,5,9,6,6,6,6,5,5,3,4,4,2,3,6,7,1,4,5,5,1,7,5,4,4,7,3,5,2,4,4,6,3,3,4,3,1,4
