"Table 1c: Estimated population by sex, single year of age, 2011 Data Zone area, and council area: 30 June 2016 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,Council Area,All Ages,,,,,FEMALES,,,,,,,,,,,,FEMALES,,,,,,,,,,,,,FEMALES,,,,,,,,,,,,,FEMALES,,,,,,,,,,,,,FEMALES,,,,,,,,,,,,,FEMALES,,,,,,,,,,,,,FEMALES,,,,,,,,,,
,,,,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90+
S01006525,Aberdeen City,451,,1,2,3,3,3,8,7,6,8,7,5,4,8,4,8,5,5,9,4,3,0,0,0,2,5,7,3,2,4,1,3,3,4,5,11,1,4,7,5,3,5,10,5,2,12,5,7,12,7,7,6,5,8,5,2,3,4,7,9,4,4,7,5,3,6,3,6,3,6,6,4,10,1,6,5,5,6,1,4,7,5,9,3,4,5,7,4,4,4,0,10
S01006526,Aberdeen City,490,,5,3,5,4,3,4,0,1,2,4,7,5,1,3,3,4,2,1,4,6,20,24,9,4,14,8,5,15,9,6,13,15,12,5,6,11,5,7,3,8,5,6,10,4,6,1,2,1,8,3,4,5,2,8,7,7,11,4,4,7,5,8,3,3,6,2,4,4,1,1,3,2,7,3,10,4,2,7,1,3,2,4,3,5,8,4,3,3,0,1,7
S01006527,Aberdeen City,394,,4,7,1,4,7,1,3,3,7,7,4,8,6,3,3,3,6,7,5,5,5,2,2,1,4,1,9,4,14,12,6,8,3,9,6,7,4,5,3,6,4,8,1,9,4,7,3,7,8,7,5,4,4,3,7,7,6,7,7,4,6,3,4,3,4,1,3,2,3,3,3,5,0,3,2,1,2,4,3,2,2,1,1,3,0,1,3,1,0,2,6
S01006528,Aberdeen City,576,,5,6,8,5,4,11,2,8,4,5,3,9,5,6,8,6,4,8,4,19,7,17,16,10,16,18,4,14,17,20,18,7,7,16,10,12,8,9,10,9,1,3,2,3,0,9,5,3,4,5,9,5,5,8,2,4,7,2,3,2,5,9,3,5,5,7,2,4,6,3,1,4,6,4,6,8,5,2,4,8,4,1,5,1,3,0,1,0,1,2,4
S01006529,Aberdeen City,483,,6,9,4,5,1,0,10,6,2,6,2,1,1,3,0,2,2,1,3,7,10,29,12,27,1,15,28,3,8,9,16,13,12,18,15,3,0,7,3,5,5,1,3,4,0,5,0,6,6,1,2,3,6,7,0,7,3,2,5,3,7,11,4,5,1,5,8,5,1,4,2,4,2,5,0,1,1,3,4,5,1,2,2,5,3,2,4,6,2,0,4
S01006530,Aberdeen City,386,,2,4,4,6,1,0,8,3,4,2,3,2,3,4,3,1,4,2,1,6,12,7,4,6,17,5,2,10,12,2,8,4,12,8,10,6,3,3,2,2,4,3,3,0,6,4,1,3,8,2,0,3,4,10,7,6,7,5,9,3,9,2,4,5,4,6,5,5,2,6,2,1,2,3,3,5,3,4,3,1,4,3,2,2,0,0,2,5,4,0,3
S01006531,Aberdeen City,471,,4,3,5,3,7,4,3,4,5,1,1,3,6,5,4,3,2,3,4,9,10,9,8,4,13,17,21,20,6,11,6,6,11,7,10,2,4,2,6,7,8,8,7,2,10,3,4,4,7,11,2,3,5,3,2,9,4,4,4,4,7,7,7,0,4,6,4,4,5,3,3,6,1,5,3,0,1,3,4,7,5,7,1,2,4,1,3,2,0,3,0
S01006532,Aberdeen City,431,,3,5,2,2,2,3,1,2,5,6,3,6,0,3,1,3,3,1,3,0,0,1,6,0,5,10,2,6,9,1,4,1,5,6,5,5,6,9,3,9,1,5,5,4,10,6,3,4,5,4,2,6,3,6,4,7,5,4,5,4,2,6,4,6,3,6,1,3,3,8,2,2,5,5,11,3,10,2,5,4,5,2,10,4,3,6,8,7,6,13,36
S01006533,Aberdeen City,385,,5,5,2,1,3,6,7,5,2,4,1,4,1,3,0,1,4,4,4,5,4,3,5,7,10,7,4,2,7,6,6,5,5,5,2,2,1,10,3,9,7,6,9,8,6,6,1,7,6,6,8,2,8,3,7,7,8,4,7,9,10,3,5,3,0,5,6,3,5,0,2,2,3,1,5,1,3,6,1,4,2,1,0,4,0,6,3,1,0,1,4
S01006534,Aberdeen City,519,,6,5,5,0,8,3,6,5,10,7,11,8,11,5,2,10,3,6,6,8,4,5,3,9,3,9,4,15,6,13,3,7,7,8,10,5,7,2,6,7,11,9,8,4,8,8,12,12,2,3,8,14,3,6,11,6,4,15,8,6,1,4,8,6,5,3,3,7,6,8,3,6,0,8,3,4,0,4,0,2,2,3,3,2,6,2,1,1,1,0,1
S01006535,Aberdeen City,524,,1,2,0,6,5,14,7,7,3,6,4,3,3,2,3,0,2,1,3,4,6,5,11,12,20,11,13,15,11,20,7,22,5,13,13,6,8,7,7,9,14,5,5,9,10,14,3,11,3,17,3,6,6,7,9,3,7,2,4,4,6,7,0,9,7,2,3,3,6,2,4,1,2,3,3,5,3,0,1,2,5,2,1,1,1,1,1,0,1,3,0
S01006536,Aberdeen City,509,,2,3,2,4,7,7,0,3,1,1,2,0,6,0,4,2,1,2,2,3,5,9,11,7,22,22,27,15,13,1,12,23,19,21,18,20,9,12,0,4,7,0,4,7,5,7,9,8,6,5,8,4,8,8,9,5,0,7,0,9,4,3,3,1,2,4,2,4,7,6,3,0,4,0,2,0,0,4,2,2,1,1,0,1,6,0,1,0,0,0,8
S01006537,Aberdeen City,487,,4,4,0,1,2,4,8,5,2,3,5,4,2,5,3,5,8,4,2,0,6,2,3,5,3,2,3,3,5,3,2,8,4,6,2,1,4,15,6,6,3,3,3,5,8,9,6,7,3,0,2,11,7,10,8,4,9,6,3,8,9,4,5,5,6,7,3,7,8,9,10,5,4,11,7,5,7,5,8,8,8,5,4,6,14,5,5,2,4,4,22
S01006538,Aberdeen City,292,,3,1,3,5,2,4,3,1,0,2,3,3,2,3,3,6,2,2,3,2,0,2,0,5,7,2,5,0,3,2,2,0,3,3,1,6,3,2,11,3,1,2,5,1,8,3,4,1,3,5,5,7,8,5,4,5,5,2,5,2,1,7,5,8,2,4,3,4,3,4,6,3,5,2,1,1,3,2,7,3,3,4,2,2,5,2,2,1,2,0,1
S01006539,Aberdeen City,410,,0,4,3,8,6,3,6,3,6,3,7,6,3,3,4,2,5,7,1,0,4,4,0,3,3,4,2,2,6,0,7,5,7,1,3,7,6,7,6,7,6,5,6,5,6,6,9,4,3,6,7,5,4,4,3,7,7,6,8,5,7,4,1,5,3,3,4,7,6,10,0,5,4,4,6,5,3,7,3,1,0,2,4,4,3,2,2,4,4,2,19
S01006540,Aberdeen City,478,,6,6,7,4,3,6,5,2,9,4,4,0,3,2,5,7,5,4,2,1,5,1,6,4,9,6,5,7,7,7,8,6,13,5,7,5,8,7,8,7,8,12,5,8,4,6,7,6,4,11,6,5,10,5,8,6,9,8,7,2,6,8,8,8,9,1,2,4,3,6,3,0,3,3,9,5,2,3,2,3,3,3,4,2,6,3,4,1,5,0,6
