"Table 1b: Estimated population by sex, single year of age and 2011 Data Zone area: 30 June 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,,All Ages,,,,,MALES,,,MALES,,,,,,,,,,MALES,,,,,,,,,,MALES,,,,,,,,,,MALES,,,,,,,,,,MALES,,,,,,,,,,MALES,,,,,,,,,,MALES,,,,,,,,,,MALES,,,,,,,,,,MALES,,,,
,,,,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90+
S01006525,,401,,3,6,0,2,3,7,3,5,1,3,6,5,8,7,12,7,9,5,3,7,7,7,4,3,5,3,3,1,2,3,3,3,3,0,0,3,2,3,3,4,8,4,9,3,8,6,4,5,6,8,7,10,5,3,3,8,4,6,4,5,9,5,5,6,8,4,1,8,8,5,2,5,3,5,7,1,6,2,2,7,6,4,3,2,0,2,3,0,0,0,2
S01006526,,423,,4,6,12,5,6,3,1,2,2,4,3,4,5,2,4,8,4,5,3,14,15,10,11,12,10,14,8,9,8,6,6,6,2,11,2,4,7,7,1,6,6,3,1,7,4,2,3,4,6,6,5,4,4,9,3,3,8,3,5,3,0,3,5,3,3,7,1,3,0,2,3,2,1,4,1,1,6,3,6,3,5,3,1,2,1,1,1,1,1,3,6
S01006527,,326,,4,7,1,8,4,7,4,0,4,4,0,4,5,2,4,3,5,9,2,5,3,5,3,13,4,3,9,5,0,6,4,3,6,3,3,6,2,2,5,4,2,4,3,8,6,5,3,3,7,4,2,8,4,2,2,2,5,7,4,9,7,6,2,3,5,2,2,2,2,2,1,3,0,2,1,2,3,2,0,2,4,1,2,2,2,3,1,0,0,1,0
S01006528,,481,,7,7,5,4,6,10,3,3,3,3,7,2,5,6,3,7,10,5,5,8,15,5,7,15,13,18,14,2,5,10,6,4,13,11,11,6,4,6,5,4,6,3,2,7,8,1,11,7,6,4,11,3,4,7,4,5,2,7,6,3,2,6,4,4,1,3,5,2,2,3,2,11,3,9,7,3,1,3,4,2,2,2,0,0,1,3,2,3,0,0,1
S01006529,,446,,2,3,1,4,2,0,6,1,2,6,2,0,3,4,2,3,1,4,4,10,12,9,2,11,13,11,8,13,13,15,12,13,10,4,9,4,12,6,13,7,8,5,6,7,6,3,6,5,12,4,7,8,2,10,2,2,2,6,2,4,10,2,6,5,2,2,6,3,2,5,3,2,3,2,1,3,0,3,1,0,4,1,1,1,2,1,4,1,1,0,5
S01006530,,357,,4,0,2,2,1,0,2,2,4,3,5,1,4,4,4,4,6,3,5,10,12,7,8,4,14,14,5,7,6,8,5,6,7,3,5,4,4,7,6,3,5,2,5,1,4,4,5,2,6,5,8,3,10,6,4,9,3,2,2,4,5,5,5,4,3,3,5,1,4,2,5,2,3,2,3,0,0,1,4,3,0,2,1,1,0,1,0,1,0,0,0
S01006531,,466,,3,5,6,5,2,8,3,3,3,2,3,12,6,5,4,7,8,13,4,6,15,7,11,14,11,12,10,7,7,6,6,5,11,8,9,4,8,4,4,4,7,6,4,8,5,4,5,8,4,3,7,3,2,9,4,3,4,4,1,10,5,5,4,3,6,6,3,2,3,3,3,4,6,1,4,4,2,3,3,4,5,2,4,2,2,0,1,1,0,1,2
S01006532,,370,,3,5,3,3,2,4,5,1,1,3,2,5,1,1,2,7,6,2,3,8,8,6,8,4,5,3,4,6,3,3,4,7,2,1,6,2,10,7,7,6,5,2,4,3,12,6,7,7,4,6,5,6,4,7,4,4,3,3,6,1,7,5,3,3,6,2,3,5,3,4,6,5,4,5,1,1,1,4,3,1,5,1,0,3,1,2,6,2,1,2,7
S01006533,,331,,3,7,5,4,2,2,1,7,2,3,3,2,4,3,3,8,3,0,1,4,2,4,7,4,4,3,3,2,5,0,1,5,3,3,4,3,7,5,2,7,5,2,4,4,7,6,7,6,3,10,3,3,7,7,11,6,5,5,12,4,5,4,7,1,4,2,5,4,5,3,2,2,2,3,3,1,3,0,3,0,2,1,2,1,2,1,1,1,0,0,3
S01006534,,436,,2,5,7,6,4,6,5,3,4,5,5,4,7,3,7,3,6,6,3,1,2,3,5,4,2,6,6,2,1,8,6,6,7,7,7,10,6,6,10,7,8,7,12,11,10,6,8,12,8,6,6,5,6,8,6,7,4,4,2,4,5,7,8,4,8,3,2,3,2,5,4,5,3,4,4,0,4,2,1,3,4,2,1,0,1,3,1,2,1,0,1
S01006535,,538,,4,3,6,4,7,8,6,2,5,1,3,2,3,3,2,5,6,4,7,6,14,4,8,13,19,14,18,16,17,18,21,14,16,9,9,8,11,10,6,11,8,11,12,8,2,4,2,14,8,6,5,5,7,8,8,4,9,8,3,2,4,4,1,8,3,4,2,2,4,2,2,0,4,3,1,4,2,5,3,0,0,0,0,0,0,1,1,0,1,0,0
S01006536,,514,,10,5,4,4,5,3,1,3,0,0,1,2,2,4,2,4,4,0,4,4,9,5,15,16,21,17,26,13,18,21,20,13,16,21,10,6,7,9,10,7,7,8,13,6,4,6,5,10,4,6,2,4,7,2,6,8,8,6,2,2,1,4,2,4,7,3,4,4,3,2,4,2,3,3,2,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1
S01006537,,356,,4,2,4,5,2,4,3,2,1,7,4,2,6,6,4,4,3,4,4,5,1,4,1,6,3,4,1,0,2,2,3,3,4,3,3,4,4,5,5,5,5,9,7,2,5,2,5,9,4,5,9,5,7,5,6,5,4,2,4,4,5,3,5,7,4,5,5,4,2,6,6,4,5,8,2,6,1,3,4,4,4,5,6,2,0,1,3,1,0,2,0
S01006538,,262,,1,5,3,3,2,5,1,4,2,2,3,3,1,1,2,2,2,2,4,3,4,5,1,4,0,2,2,0,1,0,3,0,2,3,2,7,4,4,1,6,4,2,4,1,2,6,3,4,5,2,4,6,5,6,3,7,2,7,2,3,3,4,2,5,7,5,3,4,1,5,0,1,4,3,2,3,2,7,5,4,4,3,0,1,2,0,1,0,0,1,0
S01006539,,335,,4,5,3,3,3,1,5,3,5,3,3,3,4,6,4,3,4,4,2,2,4,2,1,5,4,1,2,4,0,6,2,3,2,6,3,5,6,4,5,7,3,4,3,4,8,2,6,5,5,3,4,0,11,5,7,7,5,7,3,7,5,2,5,8,4,4,4,3,2,2,3,6,4,0,3,4,4,5,5,2,2,4,0,2,0,1,2,0,1,3,4
