"Table 1b: Estimated population by sex, single year of age and 2011 Data Zone area: 30 June 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,,All Ages,,Males,,,,,,,,,,,,,Males,,,,,,,,,,,,,Males,,,,,,,,,,,,,Males,,,,,,,,,,,,,Males,,,,,,,,,,,,,Males,,,,,,,,,,,,,Males,,,,,,,,,,,,
,,,,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90
S01006534,,457,,5,5,3,5,10,7,3,7,5,4,3,6,4,4,6,3,8,3,7,2,3,0,4,3,5,2,5,7,6,3,3,7,10,4,9,9,10,9,4,5,8,6,10,7,14,8,7,9,8,14,9,6,5,6,8,8,8,9,5,4,3,4,5,7,8,4,9,3,2,2,2,5,3,5,3,3,3,0,4,1,0,2,4,2,1,0,1,2,1,1,0
S01006535,,556,,7,4,3,2,4,4,7,7,5,1,5,0,4,1,3,3,2,6,5,6,7,9,15,6,12,15,19,19,17,24,20,19,22,14,12,7,11,14,10,10,8,9,9,8,13,4,3,0,4,11,8,5,5,5,5,6,8,6,10,7,2,2,4,4,2,6,3,4,2,2,4,2,2,0,3,3,1,4,2,4,3,0,0,0,0,0,0,1,1,0,0
S01006536,,522,,5,6,5,1,3,5,4,2,2,4,0,1,1,2,2,4,1,6,3,0,2,6,13,9,16,26,26,19,28,20,17,20,17,12,15,20,6,6,5,8,9,2,3,8,9,7,5,6,3,10,1,6,4,5,6,1,6,11,8,5,1,3,0,2,2,3,7,3,4,4,3,4,4,3,3,3,2,1,1,0,0,1,0,0,0,1,1,1,0,1,1
S01006537,,402,,3,3,8,3,5,6,5,5,3,3,1,7,4,2,6,6,4,4,4,4,4,5,1,4,4,8,3,5,1,1,2,2,2,6,2,3,3,5,3,5,6,6,7,9,9,2,7,3,5,8,2,5,9,6,7,6,7,4,5,3,4,4,5,3,8,7,3,5,5,4,1,7,7,4,6,8,2,5,2,3,4,5,3,6,5,4,1,3,2,2,3
S01006538,,267,,4,2,1,4,5,4,1,6,1,6,3,2,3,2,1,1,3,2,2,2,5,3,6,3,1,7,0,3,2,1,2,0,4,0,3,3,4,8,5,4,0,6,3,2,3,3,2,6,1,6,6,3,4,4,5,6,3,7,2,7,0,0,3,3,2,5,6,5,2,4,1,4,0,1,3,1,2,2,2,7,4,1,4,2,0,1,2,0,1,0,1
S01006539,,351,,1,4,6,4,2,1,3,2,3,3,5,3,4,3,5,6,4,5,3,3,0,2,4,4,2,5,3,4,3,4,2,8,5,5,4,2,2,5,7,5,5,11,5,5,2,2,8,3,4,6,5,2,4,1,10,5,8,7,6,8,3,7,5,2,5,9,3,3,4,4,2,3,2,5,4,0,2,4,5,6,5,1,2,2,0,2,0,0,1,1,6
S01006540,,470,,7,5,6,4,4,2,6,5,4,1,3,2,0,4,4,4,4,1,2,3,3,7,5,6,9,11,9,7,13,11,9,6,8,4,10,11,6,16,5,9,10,4,14,6,4,4,4,0,6,11,6,3,7,11,9,6,9,5,1,7,10,9,6,4,4,6,7,4,2,3,3,1,3,3,3,4,4,0,2,1,2,3,2,4,3,3,4,0,5,0,2
S01006541,,381,,10,4,9,6,5,5,3,6,3,1,5,4,4,4,2,5,2,3,1,1,0,0,2,2,4,6,4,3,0,4,3,10,8,3,8,2,5,12,12,7,7,8,5,4,4,4,3,7,3,3,5,5,1,5,5,3,3,5,2,10,6,1,6,4,4,6,6,2,2,2,2,2,3,8,1,3,2,7,1,0,3,5,2,5,5,5,1,2,0,3,12
S01006542,,459,,3,7,0,5,6,3,0,1,3,4,1,7,4,6,1,2,6,3,6,3,1,6,0,1,7,5,9,5,0,5,5,3,8,11,7,3,4,5,4,9,7,5,3,7,7,13,7,7,9,5,7,3,8,7,6,6,9,5,13,7,2,9,8,7,3,12,3,11,8,1,4,3,5,6,5,1,8,4,3,3,7,7,2,7,5,3,6,3,2,1,0
S01006543,,367,,2,2,5,12,4,3,4,5,5,3,1,2,1,3,2,3,2,4,1,2,0,3,10,2,2,3,3,2,1,4,3,3,3,3,5,3,2,8,3,2,6,8,9,4,2,7,3,3,6,8,4,5,10,6,7,3,5,9,3,4,2,5,5,4,6,5,3,4,5,5,3,7,6,3,1,1,6,1,5,2,6,3,5,6,5,2,2,5,5,0,6
S01006544,,619,,10,11,6,5,6,6,3,4,7,3,6,4,5,2,1,4,5,0,3,6,5,5,8,5,4,20,11,9,11,4,22,9,12,14,14,15,17,15,17,10,9,9,9,7,14,5,7,4,6,12,11,12,9,11,7,12,11,10,6,2,6,8,9,9,10,9,4,3,4,4,3,6,1,2,3,1,5,2,4,0,2,3,1,5,3,2,4,2,4,0,3
S01006545,,533,,8,8,2,8,5,3,2,2,5,5,2,3,7,3,2,8,3,1,8,4,2,3,6,6,8,9,9,4,3,10,12,9,4,14,4,9,12,7,12,7,2,2,9,8,5,17,8,8,9,5,8,9,13,11,8,8,8,8,8,5,5,9,4,6,10,9,6,8,8,6,3,2,0,6,4,5,4,4,5,3,1,5,4,2,2,0,2,1,1,5,5
S01006546,,300,,5,1,4,4,0,2,3,1,3,1,6,3,1,3,4,3,3,4,1,7,2,0,3,6,4,6,4,3,0,2,1,7,2,5,6,5,2,6,2,1,5,1,4,2,3,10,4,8,7,3,1,7,3,10,8,6,4,5,4,2,2,7,6,4,3,7,4,1,0,4,8,4,2,2,1,2,4,3,3,2,2,0,0,2,0,1,0,0,1,0,2
S01006547,,427,,8,1,2,4,7,3,1,4,7,6,4,5,4,5,7,8,3,5,5,3,3,4,9,10,3,5,8,4,11,5,5,2,2,4,4,5,6,6,5,1,4,6,7,3,5,6,6,9,9,11,7,4,2,4,7,8,6,4,4,5,2,3,6,6,12,4,3,9,5,3,5,3,2,3,3,2,7,1,3,2,6,3,6,4,2,0,5,2,1,0,3
S01006548,,330,,2,1,6,4,4,1,2,3,1,4,3,0,2,2,6,4,5,5,5,2,3,0,5,3,1,0,8,3,1,2,1,0,12,3,5,3,3,2,3,4,3,4,4,5,1,6,7,7,5,6,11,1,2,3,8,4,3,4,5,1,5,1,9,6,3,5,7,4,7,5,4,2,4,4,4,2,5,5,5,3,3,6,6,1,1,3,1,0,1,1,3
S01006549,,400,,6,6,6,1,5,6,10,3,8,0,0,4,1,0,7,7,2,5,2,1,2,8,6,7,2,5,3,3,1,1,1,3,2,3,5,6,5,1,4,3,6,8,8,5,3,11,8,5,7,1,5,7,6,9,6,8,10,7,6,10,5,7,5,7,4,3,8,5,3,7,5,5,3,2,5,5,4,4,1,2,1,4,4,1,3,1,3,1,2,1,2
S01006550,,449,,3,7,9,2,6,0,4,6,3,4,4,3,1,2,4,5,3,8,2,3,1,5,2,5,3,7,1,5,2,1,8,3,5,3,1,5,1,6,2,3,6,2,7,2,6,6,5,6,6,7,9,4,9,9,2,8,13,7,16,9,6,0,2,12,7,7,11,6,4,5,2,5,3,7,5,8,3,7,5,4,4,7,4,8,1,5,5,3,4,1,11
S01006551,,327,,4,1,4,1,4,4,0,2,1,6,2,5,2,5,1,0,1,7,1,5,4,6,0,0,4,3,1,5,3,6,4,5,1,5,8,7,4,2,2,2,10,5,11,3,3,6,8,8,7,1,4,4,2,4,4,4,5,5,5,4,4,2,8,3,3,3,6,6,3,1,2,7,7,2,3,1,0,2,3,7,6,4,2,1,0,3,1,0,1,4,1
S01006552,,438,,7,2,6,5,3,6,6,1,3,2,1,4,2,6,3,0,7,8,6,1,0,3,9,7,8,5,6,6,7,7,9,10,8,13,10,10,11,7,3,5,11,11,0,4,3,13,10,2,9,4,0,6,6,7,5,6,9,3,10,7,3,8,9,4,8,0,10,4,4,3,5,2,0,3,3,1,3,0,5,4,4,0,0,1,2,0,1,1,1,0,0
S01006553,,407,,2,6,3,2,3,2,4,6,3,3,5,3,3,8,2,4,1,9,4,4,1,6,3,0,3,4,5,7,3,2,2,2,8,7,4,2,4,5,6,6,4,2,5,6,2,4,0,6,3,6,7,6,6,7,12,2,8,3,4,7,7,3,5,8,7,4,10,2,5,4,2,6,7,7,10,4,3,4,5,8,5,6,7,2,4,3,5,2,2,1,2
S01006554,,361,,5,6,4,4,3,0,3,3,4,1,0,9,4,3,1,3,2,3,0,1,6,0,4,5,8,3,8,12,8,5,12,8,6,8,13,1,4,4,8,1,6,2,7,5,5,8,6,6,6,5,3,4,5,3,6,5,3,3,2,2,12,3,1,3,4,2,2,3,7,2,3,0,0,3,2,4,2,6,3,4,2,3,7,1,3,0,2,0,0,0,2
S01006555,,423,,6,8,5,3,9,7,5,1,1,6,5,7,5,6,4,3,1,10,2,3,1,5,6,9,8,6,12,7,9,11,6,15,9,11,10,7,7,7,8,9,12,4,10,6,7,8,8,1,4,1,9,0,3,5,3,8,6,0,4,4,5,3,1,3,4,7,2,6,2,3,1,2,1,2,3,2,1,0,2,1,2,0,3,2,1,0,1,0,0,0,0
S01006556,,399,,2,3,2,4,5,4,13,6,3,5,2,3,5,2,4,4,2,5,3,3,3,13,4,6,4,8,3,4,0,9,5,5,8,6,6,0,1,5,4,4,9,3,6,2,11,6,10,6,3,5,4,5,8,9,4,4,11,3,7,4,4,5,3,6,9,2,5,4,1,0,2,5,4,1,2,2,3,2,4,8,3,5,6,6,2,3,1,2,0,0,1
S01006557,,345,,3,10,3,6,5,2,4,6,3,8,6,7,1,2,0,2,4,6,5,4,1,5,0,6,8,5,5,7,4,5,11,7,9,2,2,4,0,6,1,6,7,9,4,4,8,6,5,4,5,0,8,8,7,2,3,6,2,5,1,2,7,3,1,5,5,3,5,2,4,4,3,2,0,2,4,1,2,3,1,2,1,0,0,0,3,1,1,0,0,1,2
S01006558,,305,,2,2,5,2,2,2,0,1,0,2,0,3,2,1,3,0,0,4,5,0,2,3,3,6,6,7,7,15,13,8,11,15,9,9,4,3,4,8,7,8,4,4,4,4,5,3,4,2,4,3,3,5,4,1,7,0,6,3,3,4,3,2,4,1,4,3,4,1,2,2,0,1,2,4,0,0,0,1,1,1,3,1,0,1,0,2,1,0,0,0,4
S01006559,,317,,5,2,3,5,1,3,4,3,3,1,1,4,5,8,4,5,3,2,2,6,6,2,10,4,1,9,6,3,3,3,8,10,9,10,1,7,2,4,2,2,3,5,4,3,2,3,2,7,9,7,4,5,2,8,3,5,4,2,3,4,7,10,3,3,3,5,5,2,0,4,0,1,0,0,2,1,3,0,2,2,3,0,0,1,0,0,2,0,0,0,1
S01006560,,466,,2,6,10,3,6,7,5,8,4,7,6,5,5,5,6,5,9,5,12,11,6,5,2,6,4,7,4,2,11,8,7,9,6,6,3,8,5,7,0,1,6,7,7,6,15,8,2,6,5,7,14,6,4,9,3,8,7,6,2,4,8,7,8,7,4,4,7,3,3,1,5,7,1,3,0,2,2,3,1,0,3,2,0,1,1,2,3,2,2,1,7
S01006561,,350,,2,3,4,4,1,6,5,5,4,4,3,0,6,3,2,7,4,6,3,4,2,4,7,2,3,2,5,2,2,3,6,7,8,7,7,3,0,8,3,6,3,8,5,1,7,7,4,9,5,6,7,8,3,11,7,7,3,1,3,1,5,4,9,6,7,5,4,2,0,4,3,6,3,4,1,2,0,1,1,2,1,2,3,1,0,0,0,0,1,1,3
S01006562,,396,,2,6,2,2,6,3,9,3,7,5,6,3,3,6,6,6,4,5,2,0,4,5,7,6,6,6,2,5,4,2,3,5,1,3,3,3,9,6,7,7,0,7,8,6,5,4,6,6,8,8,5,1,6,4,10,8,10,2,8,7,8,6,8,5,2,5,7,5,2,4,2,4,3,1,0,5,3,1,4,4,2,5,3,0,2,3,0,0,1,1,1
S01006563,,366,,0,2,9,6,10,7,12,5,8,6,3,3,3,1,5,1,2,2,3,2,4,1,3,4,7,6,8,8,6,0,0,1,3,2,2,2,7,5,8,6,8,6,6,10,6,17,4,9,5,2,6,2,7,0,0,7,6,4,6,1,3,5,7,3,6,3,1,3,5,3,3,4,2,7,2,1,4,1,4,0,1,3,2,1,0,0,2,2,3,0,0
