"Table 1c: Estimated population by sex, single year of age and 2011 Data Zone area: 30 June 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,,All Ages,,,,,Females,,,,,,,,,,,,Females,,,,,,,,,,,,,Females,,,,,,,,,,,,,Females,,,,,,,,,,,,,Females,,,,,,,,,,,,,Females,,,,,,,,,,,,,Females,,,,,,,,,,
,,,,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90
S01006541,,458,,8,6,6,11,3,5,4,3,3,2,2,0,4,2,6,0,4,2,2,2,4,2,4,4,2,1,1,4,5,6,5,11,9,1,2,9,4,6,4,4,9,4,8,8,2,0,6,8,4,10,3,3,6,8,8,4,2,7,3,5,6,5,5,1,7,4,4,2,5,3,7,7,6,4,4,4,8,9,6,4,8,5,5,4,9,9,9,8,2,7,20
S01006542,,522,,6,2,7,2,5,2,4,5,4,7,1,5,2,6,3,3,4,1,8,0,5,1,3,2,4,1,4,3,7,4,11,6,11,2,5,6,7,7,7,5,6,6,11,9,10,6,6,7,9,8,4,15,11,11,3,6,7,4,6,6,7,11,9,4,10,8,7,3,4,8,2,7,7,6,14,7,6,7,7,7,13,10,3,7,4,7,2,2,2,1,1
S01006543,,438,,2,8,3,2,5,5,4,6,3,4,4,2,1,3,6,4,4,7,6,2,3,3,3,2,7,3,1,4,3,2,5,7,2,2,7,3,6,5,2,8,5,7,4,9,5,3,10,10,4,12,4,8,3,8,8,11,3,5,4,5,1,8,3,8,6,5,5,9,5,4,6,6,1,2,9,2,4,8,3,8,4,4,7,9,8,7,3,2,1,0,3
S01006544,,584,,3,12,9,6,6,10,6,8,2,4,3,2,1,4,4,5,3,8,3,5,3,5,10,12,5,12,9,8,11,11,6,12,8,26,17,6,6,16,6,6,11,8,5,4,6,8,6,2,7,7,10,5,6,10,6,4,8,6,9,8,6,5,6,8,6,5,6,7,3,4,4,1,1,0,6,4,5,5,2,3,2,5,4,2,3,2,6,3,2,3,30
S01006545,,528,,2,10,4,5,6,3,2,7,6,0,5,0,4,4,7,0,1,3,6,2,2,5,7,5,1,10,1,12,9,7,6,3,12,11,9,7,4,13,2,4,6,8,0,4,5,7,2,7,6,5,7,5,10,6,14,8,4,11,8,11,4,7,5,5,7,7,8,7,3,1,6,4,6,5,3,7,12,7,8,8,3,6,8,4,4,4,5,6,5,3,19
S01006546,,318,,0,3,1,1,4,2,2,5,5,4,3,3,1,5,9,2,5,1,2,2,3,3,11,1,1,2,0,4,4,1,4,3,2,1,7,4,2,2,6,2,1,5,4,3,2,7,2,8,6,3,8,8,6,7,6,3,1,6,3,2,3,5,4,3,4,2,6,6,8,5,5,3,5,3,3,5,6,1,1,4,2,2,0,7,3,3,2,0,1,1,1
S01006547,,498,,6,3,7,5,4,3,4,3,9,3,1,2,5,3,3,3,4,5,2,3,1,8,6,11,3,4,10,5,7,2,12,4,4,3,5,9,4,3,3,9,7,9,8,3,8,7,6,4,8,5,4,10,8,3,6,8,8,9,9,6,5,5,5,7,7,7,9,4,4,7,4,6,2,8,3,5,7,5,0,7,4,9,8,5,3,6,4,7,3,4,11
S01006548,,374,,3,2,1,5,3,7,3,2,1,4,4,0,4,2,0,2,6,2,7,3,3,2,3,3,2,4,3,1,2,3,1,9,7,6,4,0,5,3,2,2,1,7,4,4,6,2,6,6,7,11,5,6,5,3,9,2,6,7,3,3,5,0,5,4,10,6,5,8,4,6,5,6,6,5,4,6,4,10,8,7,5,0,6,4,5,2,4,1,0,2,2
S01006549,,408,,2,7,0,3,6,4,4,4,4,3,2,3,6,8,4,5,3,2,3,2,1,2,3,2,9,4,2,0,4,5,1,6,4,4,5,6,3,1,1,5,6,6,3,6,12,5,12,7,9,7,9,10,5,6,3,6,6,6,1,8,8,4,3,6,5,9,7,5,5,5,3,9,4,2,4,2,6,6,2,2,2,8,3,5,4,1,3,0,3,1,5
S01006550,,491,,5,3,2,7,2,6,7,5,3,5,4,1,3,3,6,3,3,5,1,4,4,0,10,11,5,5,0,1,4,1,4,0,2,6,6,2,8,7,4,2,1,6,10,2,9,8,8,4,6,9,12,9,5,14,9,5,9,8,6,7,6,8,6,10,8,9,4,4,6,4,3,4,5,8,8,4,3,7,8,6,5,7,6,2,10,3,8,7,4,0,11
