"Table 1c: Estimated population by sex, single year of age and 2011 Data Zone area: 30 June 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,,All Ages,,Females,,,,,,,,,,,,Females,,,,,,,,,,,,Females,,,,,,,,,,,,Females,,,,,,,,,,,,Females,,,,,,,,,,,,Females,,,,,,,,,,,,Females,,,,,,,,,,,,Females,,,,,,
,,,,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90
S01006525,,391,,0,6,3,2,4,5,5,5,5,2,6,3,3,5,4,7,6,2,1,0,4,3,5,1,5,2,1,0,1,3,4,0,1,3,3,3,1,7,7,3,12,7,5,11,7,10,4,5,8,5,3,7,6,9,8,5,7,7,3,3,6,4,8,4,7,8,6,11,3,6,5,6,6,4,2,5,4,7,3,4,3,5,1,3,4,0,0,1,0,0,2
S01006526,,459,,9,6,2,1,3,4,8,3,2,1,1,3,1,0,1,3,2,9,5,5,17,16,11,12,10,8,10,11,14,5,5,12,5,6,3,3,5,6,11,1,5,1,3,1,8,3,3,5,1,10,5,9,12,4,5,7,7,9,2,2,7,3,2,5,2,1,3,2,7,2,8,3,3,7,2,3,1,3,4,5,5,1,4,5,0,3,3,3,3,3,14
S01006527,,357,,5,0,1,3,9,3,4,8,5,2,2,5,5,1,6,3,2,6,4,4,5,0,11,2,11,12,8,8,3,5,1,1,1,4,4,3,1,10,2,9,7,8,4,5,7,4,1,4,4,4,8,5,5,5,6,3,3,2,6,3,4,1,3,3,5,3,2,5,0,3,3,3,3,4,7,4,3,1,1,5,1,2,3,2,1,3,0,0,1,3,5
S01006528,,599,,3,8,6,3,6,5,2,7,7,8,5,4,2,4,3,7,0,5,12,18,28,24,16,18,18,12,22,9,5,21,12,10,7,4,7,9,5,7,0,6,5,8,5,4,5,7,9,7,7,8,3,5,8,3,8,2,5,9,3,7,5,7,2,5,8,5,4,4,6,4,8,9,5,3,5,9,4,3,7,1,5,1,1,4,2,2,1,2,1,1,2
S01006529,,438,,5,1,11,8,4,7,3,2,1,1,2,3,3,2,2,6,1,5,3,14,5,8,18,13,5,9,17,16,10,15,11,4,5,8,3,5,6,0,4,2,2,6,1,6,4,1,3,5,9,5,1,7,3,1,6,3,5,10,2,4,0,4,5,3,1,4,1,4,1,5,1,1,5,4,5,5,3,2,2,5,5,5,8,9,6,0,1,1,2,1,7
S01006530,,383,,1,1,5,3,3,1,2,0,2,2,3,2,5,3,0,6,2,5,3,3,9,13,4,11,13,9,6,3,4,4,8,7,3,4,2,2,4,3,4,0,5,5,0,4,7,3,3,5,5,7,6,10,8,5,9,7,7,5,5,7,5,8,5,7,2,10,5,2,2,5,3,5,3,4,3,0,5,1,3,6,0,1,1,7,3,2,1,1,4,0,1
S01006531,,492,,4,4,3,6,1,2,5,1,6,5,11,2,1,4,3,5,8,5,5,8,5,15,19,20,9,6,11,8,8,12,5,4,6,5,5,9,4,8,8,5,11,4,4,7,9,10,3,5,6,4,2,10,10,2,4,3,6,6,3,1,5,7,4,6,7,5,3,5,1,5,3,1,2,2,4,7,5,6,2,4,5,4,4,2,4,7,3,0,3,1,4
S01006532,,411,,1,3,4,1,5,8,4,6,2,2,2,3,3,1,2,3,0,1,3,1,5,9,1,4,3,0,1,1,4,6,4,6,7,11,2,8,0,3,5,5,8,6,2,3,5,3,5,5,5,7,5,6,6,5,4,4,3,5,6,6,3,6,2,2,4,8,2,3,5,4,8,3,8,2,4,3,5,2,8,2,2,7,9,6,10,6,5,3,4,4,32
S01006533,,389,,5,5,6,6,3,4,2,5,0,3,1,2,4,4,7,6,4,2,8,3,6,3,1,2,4,5,5,3,2,7,6,4,2,12,5,5,7,2,9,6,6,4,2,8,6,5,10,2,10,2,8,7,7,5,9,9,10,5,6,3,2,7,6,4,6,1,2,3,4,1,6,1,3,6,4,4,2,1,0,4,1,6,4,1,1,3,0,3,2,1,0
S01006534,,481,,7,3,7,5,9,7,9,8,14,8,2,9,4,6,6,3,6,6,1,4,8,3,0,6,4,10,4,7,1,6,9,6,11,2,7,6,8,10,5,2,8,9,11,12,4,3,7,12,5,4,12,6,5,13,9,7,3,5,7,6,4,3,3,4,5,7,3,5,1,7,5,5,0,4,0,2,3,3,2,3,6,3,2,4,1,1,1,5,1,0,1
