"Table 1b: Estimated population by sex, single year of age and 2011 Data Zone area: 30 June 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,,All Ages,,Males,,,,,,,,,,,,,Males,,,,,,,,,,,,,Males,,,,,,,,,,,,,Males,,,,,,,,,,,,,Males,,,,,,,,,,,,,Males,,,,,,,,,,,,,Males,,,,,,,,,,,,
,,,,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90+
S01006530,,370,,1,2,2,5,4,3,2,2,2,1,2,1,4,2,8,0,4,3,8,4,8,0,5,16,14,4,14,10,11,15,7,5,8,7,6,4,7,2,7,5,7,8,4,5,3,4,6,4,6,4,4,1,7,6,3,3,8,4,4,7,1,1,0,4,4,4,3,2,0,3,4,1,6,2,5,3,2,1,3,1,0,0,3,1,0,2,0,1,0,0,0
S01006531,,485,,6,4,5,1,3,5,4,7,3,9,5,4,3,3,3,11,6,5,3,7,7,12,8,15,13,11,17,17,11,10,7,7,10,7,9,4,18,6,7,1,7,5,0,4,6,5,4,8,2,6,5,8,2,3,6,4,4,10,4,1,5,3,1,10,5,5,5,3,8,5,3,0,2,2,3,3,5,2,5,4,2,3,2,3,5,2,1,0,0,0,0
S01006532,,385,,3,4,4,5,6,5,3,4,3,4,3,1,3,4,2,6,2,1,3,4,3,1,1,8,15,8,9,4,6,8,3,6,4,2,4,8,4,2,11,3,7,8,8,9,4,2,2,4,11,4,6,4,4,4,4,4,3,6,2,4,3,3,6,0,5,4,2,3,6,2,3,6,4,4,6,6,3,2,1,2,1,5,3,3,3,1,1,1,1,1,14
S01006533,,355,,4,5,3,3,5,7,6,4,3,3,3,5,2,2,0,4,1,6,3,5,2,0,5,5,4,6,7,8,8,1,7,2,0,1,5,4,0,8,5,3,13,4,4,13,4,2,2,3,8,4,6,8,3,11,5,2,8,5,8,6,4,6,10,2,4,4,5,0,1,2,5,3,6,3,2,1,2,2,3,1,2,1,2,1,2,0,2,1,1,1,2
S01006534,,468,,1,4,6,4,3,3,12,7,3,9,5,5,6,5,4,4,6,1,7,0,4,1,5,1,4,3,7,6,6,6,7,3,4,9,8,8,10,11,7,10,3,4,8,8,9,8,12,7,7,10,10,14,10,6,6,5,7,8,7,10,4,4,3,6,6,7,9,4,8,3,2,2,1,5,2,4,3,3,4,0,3,1,0,2,3,1,1,0,1,1,1
S01006535,,527,,4,2,4,1,2,0,5,3,7,6,5,1,5,0,5,2,4,3,1,4,4,7,7,10,16,10,18,15,21,23,15,20,15,18,18,11,12,5,13,11,10,8,5,7,8,10,12,3,1,0,2,12,7,2,6,5,5,6,8,6,9,7,3,3,3,4,0,6,3,3,0,2,2,2,2,0,3,3,0,4,2,4,4,0,0,0,0,0,0,1,1
S01006536,,530,,2,4,4,5,1,1,3,6,4,2,1,3,0,1,2,0,1,5,1,2,1,3,6,8,19,15,21,27,32,16,44,17,16,23,17,13,10,16,5,4,8,7,7,1,1,7,10,7,4,5,3,9,2,6,2,4,6,0,5,9,5,5,2,2,1,4,2,3,4,4,4,3,3,4,3,3,3,3,2,1,1,0,0,1,0,0,0,0,1,1,1
S01006537,,408,,4,6,2,3,8,7,3,6,4,5,2,3,1,7,4,2,7,6,3,2,5,4,2,4,3,5,5,6,1,4,4,5,4,3,3,7,2,4,4,7,3,7,5,6,6,10,11,1,5,3,3,9,2,6,9,6,6,6,6,4,5,3,4,4,3,3,8,7,3,4,5,5,1,7,5,4,5,8,2,5,2,4,4,6,3,5,4,3,1,2,2
S01006538,,279,,4,2,6,3,3,6,5,2,2,4,1,3,3,1,4,2,1,0,3,2,0,2,6,4,9,4,1,6,2,3,1,1,1,1,2,1,3,7,3,9,5,4,4,6,4,2,3,2,2,6,1,6,7,3,3,4,5,7,3,10,2,7,0,0,2,3,1,4,6,5,2,4,1,4,0,1,3,0,2,2,1,7,4,0,3,1,0,1,2,0,1
S01006539,,350,,3,8,1,3,4,3,2,1,3,2,3,2,2,3,4,3,5,7,2,3,2,3,0,2,6,5,2,6,2,3,5,4,4,12,6,6,6,3,3,1,7,5,4,9,4,4,3,2,7,1,2,6,4,4,6,1,10,6,9,6,5,6,3,5,5,1,3,9,3,4,4,4,1,3,2,3,5,1,2,3,5,6,5,2,1,2,0,2,1,2,7
